RDF Type	Class type	Parent	ID	See Also	Label	Label	Label	Label	Abbreviation	Definition	Editors Note	Citation
owl:Class	subclass	ADO:00010	ADO:00124	http://vivoweb.org/ontology/degree/academicDegree140	Master of Chemical Engineering				MChE	Master of Chemical Engineering		
owl:Class	subclass	ADO:00009	ADO:00125	http://vivoweb.org/ontology/degree/academicDegree74	Master of Christian Education				MCE	Master of Christian Education		
owl:Class	subclass	ADO:00010	ADO:00126	http://vivoweb.org/ontology/degree/academicDegree75	Master of Civil Engineering				MCE	Master of Civil Engineering		
owl:Class	subclass	ADO:00010	ADO:00127	http://vivoweb.org/ontology/degree/academicDegree76	Master of Computer Science				MCS	Master of Computer Science		
owl:Class	subclass	ADO:00009	ADO:00128	http://vivoweb.org/ontology/degree/academicDegree78	Master of Divinity				MDiv	Master of Divinity		
owl:Class	subclass	ADO:00009	ADO:00129	http://vivoweb.org/ontology/degree/academicDegree80	Master of Education				MEd	Master of Education		
owl:Class	subclass	ADO:00010	ADO:00130	http://vivoweb.org/ontology/degree/academicDegree81	Master of Engineering				MEng	Master of Engineering		
owl:Class	subclass	ADO:00010	ADO:00131		Master of Exercise and Sport Science				MESS	Master of Exercise and Sport Science		
owl:Class	subclass	ADO:00009	ADO:00132	http://vivoweb.org/ontology/degree/academicDegree82	Master of Fine Arts				MFA	Master of Fine Arts		
owl:Class	subclass	ADO:00010	ADO:00133	http://vivoweb.org/ontology/degree/academicDegree122	Master of Health Science				MHS	Master of Health Science		
owl:Class	subclass	ADO:00009	ADO:00134	http://vivoweb.org/ontology/degree/academicDegree83	Master of Hospital Administration				MHA	Master of Hospital Administration		
owl:Class	subclass	ADO:00009	ADO:00135	http://vivoweb.org/ontology/degree/academicDegree137	Master of International Affairs				MIA	Master of International Affairs		
owl:Class	subclass	ADO:00009	ADO:00136	http://vivoweb.org/ontology/degree/academicDegree70	Master of Laws				LLM	Master of Laws		
owl:Class	subclass	ADO:00009	ADO:00137	http://vivoweb.org/ontology/degree/academicDegree67	Master of Letters				LittM	Master of Letters		
owl:Class	subclass	ADO:00010	ADO:00138	http://vivoweb.org/ontology/degree/academicDegree115	Master of Library and Information Science				MLIS	Master of Library and Information Science		
owl:Class	subclass	ADO:00010	ADO:00139	http://vivoweb.org/ontology/degree/academicDegree84	Master of Library Science				MLS	Master of Library Science		
owl:Class	subclass	ADO:00009	ADO:00140	http://vivoweb.org/ontology/degree/academicDegree126	Master of Management Studies				MMS	Master of Management Studies		
owl:Class	subclass	ADO:00010	ADO:00141	http://vivoweb.org/ontology/degree/academicDegree86	Master of Mechanical Engineering				MME	Master of Mechanical Engineering		
owl:Class	subclass	ADO:00010	ADO:00142	http://vivoweb.org/ontology/degree/academicDegree150	Master of Medical Science				MMSc	Master of Medical Science		
owl:Class	subclass	ADO:00010	ADO:00143	http://vivoweb.org/ontology/degree/academicDegree131	Master of Medicine				MMed	Master of Medicine		
owl:Class	subclass	ADO:00009	ADO:00144	http://vivoweb.org/ontology/degree/academicDegree85	Master of Music				MM	Master of Music		
owl:Class	subclass	ADO:00009	ADO:00145	http://vivoweb.org/ontology/degree/academicDegree87	Master of Music Education				MME	Master of Music Education		
owl:Class	subclass	ADO:00010	ADO:00146	http://vivoweb.org/ontology/degree/academicDegree89	Master of Nursing				MN	Master of Nursing		
owl:Class	subclass	ADO:00010	ADO:00147	http://vivoweb.org/ontology/degree/academicDegree143	Master of Pharmacy				PharmM	Master of Pharmacy		
owl:Class	subclass	ADO:00009	ADO:00148	http://vivoweb.org/ontology/degree/academicDegree111	Master of Philosophy				MPhil	Master of Philosophy		
owl:Class	subclass	ADO:00010	ADO:00149		Master of Physical Therapy				MPT	Master of Physical Therapy		
owl:Class	subclass	ADO:00010	ADO:00150	http://vivoweb.org/ontology/degree/academicDegree147	Master of Physician Assistant Studies				MPAS	Master of Physician Assistant Studies		
owl:Class	subclass	ADO:00010	ADO:00151		Master of Preventive Veterinary Medicine				MPVM	Master of Preventive Veterinary Medicine		
owl:Class	subclass	ADO:00010	ADO:00152	http://vivoweb.org/ontology/degree/academicDegree113	Master of Public Health				MPH	Master of Public Health		
owl:Class	subclass	ADO:00010	ADO:00153	http://vivoweb.org/ontology/degree/academicDegree90	Master of Religious Education				MRE	Master of Religious Education		
owl:Class	subclass	ADO:00009	ADO:00154		Master of Sacred Music				MSM	Master of Sacred Music		
owl:Class	subclass	ADO:00009	ADO:00155	http://vivoweb.org/ontology/degree/academicDegree106	Master of Sacred Theology				STM	Master of Sacred Theology		
owl:Class	subclass	ADO:00010	ADO:00156		Master of Science in Electrical Engineering				MSEE	Master of Science in Electrical Engineering		
